Rk,,ANA,ARI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MTL,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WPG,WSH
1,Anaheim Ducks,,2-2-1,2-0-0,1-1-0,1-1-0,1-0-1,5-0-0,1-0-2,1-2-0,2-1-0,1-1-0,4-0-1,2-0-0,3-2-0,2-1-0,1-1-0,2-0-0,1-2-0,0-2-0,0-1-1,2-0-0,2-0-0,1-1-0,3-1-0,1-2-0,0-2-0,0-1-1,2-1-2,2-0-1,1-0-1
2,Arizona Coyotes,3-2-0,,0-2-0,0-2-0,0-1-1,0-2-0,4-1-0,0-2-1,2-1-0,2-1-0,0-1-1,4-0-1,1-1-0,3-1-1,2-1-0,2-0-0,0-1-1,1-1-1,1-1-0,0-2-0,2-0-0,1-1-0,1-1-0,1-4-0,0-3-0,0-2-0,2-0-0,1-2-1,1-2-0,1-1-0
3,Boston Bruins,0-2-0,2-0-0,,3-1-0,1-0-2,2-1-0,1-0-1,1-1-0,1-1-0,1-1-0,3-1-0,0-0-2,3-1-0,0-2-0,2-0-0,2-3-0,2-1-0,0-2-0,3-0-0,1-2-0,1-2-1,1-1-1,3-0-0,0-2-0,1-1-0,2-2-0,4-0-1,1-1-0,1-1-0,0-2-1
4,Buffalo Sabres,1-1-0,2-0-0,1-1-2,,3-0-0,2-1-0,1-1-0,0-1-1,1-1-0,0-2-0,1-3-1,0-1-1,1-3-0,1-1-0,1-0-1,2-2-1,1-2-0,1-1-0,2-1-0,1-2-0,2-1-1,2-1-0,0-2-1,1-0-1,0-1-1,1-3-0,3-1-0,1-1-0,2-0-0,1-2-0
5,Carolina Hurricanes,1-1-0,2-0-0,2-1-0,0-2-1,,3-1-0,1-1-0,2-0-0,2-0-0,0-2-0,2-1-0,1-0-1,0-3-0,1-1-0,0-0-2,1-1-1,3-2-0,0-1-1,2-0-2,1-3-0,2-1-0,1-0-3,2-2-1,1-1-0,1-1-0,0-2-1,1-1-1,0-1-1,2-0-0,1-2-1
6,Columbus Blue Jackets,1-1-0,2-0-0,1-0-2,1-2-0,1-2-1,,1-1-0,1-1-0,2-0-0,1-1-0,1-1-1,1-1-0,1-1-1,1-0-1,0-2-0,2-1-0,4-1-0,1-1-0,0-3-2,0-4-0,1-2-0,3-1-0,2-2-0,1-1-0,1-1-0,0-3-0,2-1-0,1-1-0,0-2-0,1-3-0
7,Calgary Flames,0-5-0,1-3-1,1-1-0,1-1-0,1-1-0,1-1-0,,1-2-0,1-1-1,2-1-0,1-1-0,3-1-1,1-1-0,0-3-1,1-2-0,1-1-0,1-1-0,2-1-0,0-1-1,1-1-0,0-1-1,1-1-0,2-0-0,2-2-1,1-2-0,1-1-0,1-1-0,4-1-0,2-1-0,1-1-0
8,Chicago Blackhawks,2-0-1,3-0-0,1-1-0,2-0-0,0-2-0,1-0-1,2-0-1,,3-1-0,1-4-0,2-0-0,3-0-0,1-1-0,1-1-1,0-4-1,2-0-0,0-2-0,3-2-0,2-0-0,1-1-0,1-0-1,0-2-0,2-0-0,2-1-0,2-0-3,1-1-0,2-0-0,2-1-0,4-1-0,1-1-0
9,Colorado Avalanche,2-1-0,1-1-1,1-1-0,1-1-0,0-1-1,0-2-0,2-1-0,1-2-1,,2-1-1,1-1-0,3-0-0,1-1-0,2-1-0,1-4-0,2-0-0,2-0-0,3-2-0,1-1-0,1-1-0,1-1-0,1-1-0,0-2-0,2-2-0,3-2-0,1-1-0,0-2-0,1-2-0,3-2-0,0-2-0
10,Dallas Stars,1-2-0,1-2-0,1-1-0,2-0-0,2-0-0,1-1-0,1-1-1,4-1-0,2-2-0,,1-0-1,2-0-1,1-1-0,1-2-0,4-1-0,1-0-1,1-0-1,4-1-0,1-1-0,0-2-0,1-1-0,2-0-0,2-0-0,2-0-1,1-1-3,2-0-0,0-2-0,3-0-0,4-1-0,2-0-0
11,Detroit Red Wings,1-1-0,2-0-0,1-2-1,4-1-0,1-2-0,2-1-0,1-0-1,0-2-0,1-0-1,1-1-0,,1-1-0,2-1-1,1-1-0,1-1-0,2-2-0,1-1-1,2-0-0,2-1-0,1-1-1,3-1-1,1-1-1,0-3-0,1-1-0,1-1-0,2-2-0,3-1-0,1-0-1,1-1-0,1-0-2
12,Edmonton Oilers,1-3-1,1-3-1,2-0-0,2-0-0,1-1-0,1-1-0,2-3-0,0-2-1,0-3-0,1-2-0,1-0-1,,1-1-0,0-5-0,1-2-0,1-1-0,1-1-0,0-3-0,1-1-0,1-1-0,1-1-0,2-0-0,1-1-0,2-1-1,1-2-0,0-2-0,1-1-0,3-0-2,2-0-1,0-2-0
13,Florida Panthers,0-1-1,1-1-0,1-2-1,3-1-0,3-0-0,2-0-1,1-1-0,1-1-0,1-1-0,1-1-0,2-2-0,1-1-0,,0-2-0,1-1-0,4-0-0,2-1-0,1-1-0,2-1-0,1-1-1,3-2-0,2-1-0,1-0-2,0-1-1,1-1-0,4-1-0,3-1-0,1-0-1,2-0-0,2-0-1
14,Los Angeles Kings,2-3-0,2-3-0,2-0-0,1-0-1,1-1-0,1-1-0,4-0-0,2-1-0,1-2-0,2-1-0,1-1-0,5-0-0,2-0-0,,1-2-0,2-0-0,0-1-1,2-1-0,1-1-0,2-0-0,0-2-0,2-0-0,2-0-0,2-3-0,1-0-2,1-0-1,1-1-0,3-2-0,1-1-1,1-1-0
